app_id,genre
204220,Casual
204220,Indie
204300,Action
204300,Indie
204300,Strategy
204300,Free to Play
204390,Action
204390,Indie
204450,Action
204530,Action
204530,Indie
204530,Strategy
204580,Action
204580,Casual
204630,Action
204630,Adventure
204630,Indie
204630,Racing
205020,Adventure
205020,Casual
205020,Indie
205230,Action
205530,Indie
205530,Simulation
205530,Strategy
205610,Action
205610,Simulation
205610,Strategy
205650,Adventure
205730,Action
205730,Adventure
205730,Indie
205810,RPG
205810,Simulation
205810,Strategy
205910,Indie
205950,Action
205990,Strategy
206060,RPG
206060,Indie
206370,Action
206370,Indie
206420,Action
206420,Adventure
206440,Adventure
206440,Indie
206440,RPG
206480,Action
206480,Adventure
206480,Massively Multiplayer
206480,RPG
206480,Free to Play
206500,Action
206500,Indie
206500,Strategy
206500,Free to Play
207080,Indie
207170,Adventure
207170,Indie
207170,RPG
207230,Action
207230,Free to Play
207230,Indie
207320,Action
207320,Adventure
207320,RPG
207350,Action
207350,Adventure
207350,RPG
207380,Action
207420,Action
207420,Adventure
207420,Indie
207430,Casual
207430,Indie
207430,RPG
207490,Action
207490,Adventure
207530,Action
207530,Indie
207750,Action
207750,Casual
207750,Indie
207790,Simulation
207930,Action
208110,Adventure
208110,Casual
208140,Strategy
208500,Racing
208500,Simulation
208500,Sports
208520,Simulation
208520,Strategy
208600,Indie
208600,Simulation
209000,Action
209000,Adventure
209060,Action
209060,Indie
209080,Action
209080,Adventure
209080,Indie
209080,Simulation
209190,Action
209190,Indie
209230,Adventure
209230,Casual
209370,Indie
209630,Action
209630,Adventure
209630,Indie
209670,Action
209670,Indie
209670,Strategy
209730,Action
209730,RPG
209950,Casual
209950,Indie
209950,Strategy
210230,Adventure
210550,Casual
210770,Action
210770,Indie
210770,Strategy
210950,Action
210950,Adventure
211050,Casual
211050,Strategy
211160,Action
211160,Adventure
211180,Adventure
211180,Casual
211180,Indie
211260,Action
211260,Indie
211280,Action
211280,Indie
211340,Adventure
211340,Indie
211340,RPG
211360,Adventure
211360,Indie
211420,Action
211420,RPG
211500,Racing
211500,Simulation
211500,Sports
211500,Free to Play
211580,Action
211580,Adventure
211580,Indie
211580,RPG
211780,Action
211820,Action
211820,Adventure
211820,Casual
211820,Indie
211820,RPG
211970,Racing
212010,Action
212010,Indie
212010,Simulation
212010,Strategy
212030,Action
212030,Indie
212630,Action
212680,Indie
212680,Simulation
212680,Strategy
212700,Action
212700,Adventure
212700,Indie
212780,Indie
212780,Simulation
212780,Sports
212800,Action
212800,Free to Play
212800,Indie
213330,Action
213330,Adventure
213350,Action
213610,Action
213670,Action
213670,Adventure
213670,RPG
214170,RPG
214340,Adventure
214340,Indie
214360,Action
214360,Indie
214360,Strategy
214420,Action
214420,Free to Play
214420,Indie
214510,Action
214510,Adventure
214550,Casual
214550,Indie
214550,Simulation
214550,Strategy
214560,Action
214560,Adventure
214560,Indie
214570,Action
214630,Action
214700,Adventure
214700,Casual
214700,Indie
214730,Action
214730,Adventure
214730,RPG
214730,Simulation
214730,Strategy
214790,Adventure
214790,Indie
214790,Strategy
214950,Strategy
214970,Action
214970,Indie
215280,Action
215280,Adventure
215280,Free to Play
215280,Massively Multiplayer
215280,RPG
215470,Action
215470,Indie
215670,Adventure
215670,Indie
215690,Action
215690,Indie
216130,Indie
216130,Strategy
216210,Adventure
216670,Indie
216670,Strategy
217120,Action
217120,Early Access
217270,Action
217270,Indie
217270,Strategy
217290,Action
217290,Indie
217290,RPG
217690,Adventure
217690,Indie
217920,Action
218020,Strategy
218020,RPG
218020,Indie
218090,Indie
218090,Strategy
218230,Action
218230,Massively Multiplayer
218230,Free to Play
218410,Indie
218410,RPG
218410,Strategy
218620,Action
218620,RPG
218640,Violent
218640,Gore
218640,Action
218640,Adventure
218640,Indie
218680,Adventure
218680,Casual
218680,Strategy
218740,Adventure
218740,Indie
219150,Action
219150,Indie
219190,Action
219190,Indie
219640,Action
219640,Indie
219680,Adventure
219680,Casual
219680,Indie
219760,RPG
219780,RPG
219830,Action
219830,Free to Play
219830,Indie
219890,Adventure
219890,Indie
219910,Adventure
219910,Indie
219950,Adventure
219990,Action
219990,Adventure
219990,Indie
219990,RPG
220090,Adventure
220090,Indie
220160,Action
220160,Racing
220200,Indie
220200,Simulation
220240,Action
220240,Adventure
220260,Casual
220260,Simulation
220420,Adventure
220660,Indie
220660,Strategy
220740,Adventure
220740,Indie
220860,Action
220860,Adventure
220860,Indie
220900,Action
220900,Casual
220900,Indie
220900,Strategy
220980,Animation & Modeling
220980,Education
220980,Software Training
220980,Utilities
221020,Indie
221020,RPG
221020,Simulation
221020,Strategy
221040,Action
221040,Adventure
221100,Action
221100,Adventure
221100,Massively Multiplayer
221180,Indie
221180,Strategy
221540,Indie
221540,Strategy
221640,Action
221640,Indie
221680,Casual
