app_id,streamer_id,streamer_name,followers
1955960 ,41680410 ,coldberry,99 
1955960 ,510969617 ,MorbyAD,43 
1955960 ,834101240 ,EzWin2030,27 
1955960 ,406330694 ,poyoxs,24 
1957780 ,100007011 ,LSToast,37782 
1957780 ,72545010 ,ragesaq,23088 
1957780 ,28751608 ,Tanvarian,19151 
1957780 ,103682436 ,ScopeOG,17578 
1957780 ,31450592 ,Pwn1,13959 
1957780 ,90100836 ,iTz_Muscles,7868 
1957780 ,126512372 ,AlphaBroVR,7466 
1957780 ,56180740 ,ZstormVR,7230 
1957780 ,140184222 ,Aussie_Damnation,3926 
1957780 ,911719028 ,2crypticTV,3894 
1957780 ,114695979 ,dzykute,3105 
1957780 ,62345078 ,TheNollic,3041 
1957780 ,127672032 ,ArtificialActr,2975 
1957780 ,752878048 ,TDVR_Gaming,2765 
1957780 ,92018343 ,MetaSukiya,2700 
1957780 ,125862304 ,PurplePC,2141 
1957780 ,53869051 ,Gr1mReap1r,2065 
1957780 ,891855259 ,SlimToey,1828 
1957780 ,110975685 ,CrawlerTV,1742 
1957780 ,784956831 ,Sui_Dabz,1705 
1957780 ,780172054 ,WD__VR,1612 
1957780 ,112439251 ,Lueders_Rebel,1600 
1957780 ,520207583 ,ace5th_official,1514 
1957780 ,29458495 ,TheBoss10987,1504 
1957780 ,507132394 ,LootyWho,1395 
1957780 ,823293944 ,ItsMetrAlex,1369 
1957780 ,505386142 ,DaddySpartanVR,1362 
1957780 ,108457668 ,itswickvr,1361 
1957780 ,210727989 ,JgreenyVR,1348 
1957780 ,115986282 ,kirasfrost,1188 
1957780 ,126327044 ,iSpadeKing,1185 
1957780 ,177907277 ,Alexanderthe007,1085 
1957780 ,451664086 ,WOOKfett,1061 
1957780 ,201400442 ,PerfectDark_007,1042 
1957780 ,658354710 ,make_it_w3t,969 
1957780 ,86035846 ,Ghost_of_Phoenix,960 
1957780 ,205419751 ,ClassicJackGaming,949 
1957780 ,152997829 ,lil_Ray0,923 
1957780 ,252320327 ,xxjimukxx,921 
1957780 ,203875936 ,SoulBC,856 
1957780 ,662357032 ,StarchyKid,823 
1957780 ,580161779 ,Shred_Turtle_,797 
1957780 ,714721611 ,Dolla_saUce,796 
1957780 ,920905442 ,RatKingLarry,769 
1957780 ,194483220 ,1ShotEnergy,766 
1957780 ,50729679 ,vinsanity_au,762 
1957780 ,27394552 ,XxUrBestFrNdxX,753 
1957780 ,267610532 ,Princess_kuchikopi,733 
1957780 ,13950219 ,FangzyVR,714 
1957780 ,455636850 ,ashgaming2222,700 
1961460 ,160462863 ,WednesdayMortem,472 
1961460 ,743604271 ,inori_amabie,466 
1961460 ,604691080 ,フジン (huzin03),25 
1961460 ,745222617 ,katsupan,11 
1963370 ,177814333 ,Chxddar,133 
1963370 ,123879312 ,redpandicorn,126 
1965920 ,788079408 ,マオーン (maoron_5),59 
1966720 ,139910723 ,rolyatistaylor,45915 
1966720 ,555505834 ,茶茶茶茶 (lonely1133),21849 
1966720 ,74889238 ,sarahfrommars,20879 
1966720 ,13966952 ,SuperSahama,19743 
1966720 ,426424316 ,nikkisia,18996 
1966720 ,68292850 ,JrocTheGod,15359 
1966720 ,105738056 ,Royru,15030 
1966720 ,26593933 ,Tokyoboi,12946 
1966720 ,474237337 ,ShirooVerse,12712 
1966720 ,72630841 ,Lol_Itz_Amber,12595 
1966720 ,58143476 ,NostalgicBlackGuy,10768 
1966720 ,424000810 ,CaitlynSway,10540 
1966720 ,72530822 ,Confessorx,9329 
1966720 ,87581313 ,Takerst,8485 
1966720 ,99137802 ,ArtcoreCosplay,8379 
1966720 ,79754273 ,ChellyToms,8112 
1966720 ,26132338 ,Oogapooki,7895 
1966720 ,44022566 ,SooYunnie,7320 
1966720 ,613150512 ,MaeDawn,7317 
1966720 ,629695101 ,ArtemisFrostt,7198 
1966720 ,211312246 ,call_me_bread,7010 
1966720 ,585803725 ,arweniia,6773 
1966720 ,39717320 ,Reenyy,6524 
1966720 ,145983935 ,Bekkiboom,6498 
1966720 ,136886819 ,Tomatobird8,6108 
1966720 ,260178768 ,jackiee_elana_chan,5291 
1966720 ,44768300 ,AlexHero8,5190 
1966720 ,43865032 ,SidedWilliams,4237 
1966720 ,155016141 ,YumizuArt,4172 
1966720 ,889021307 ,Claptrapfm,4012 
1966720 ,133545461 ,ZDON_X,3977 
1966720 ,758210050 ,RiriVtuber,3977 
1966720 ,274074871 ,AnEpilepticGamer,3508 
1966720 ,123591256 ,OkayItsISA,3216 
1966720 ,13316671 ,Jollervet,3161 
1966720 ,58245747 ,DistalsPlace,3003 
1966720 ,188902746 ,Ciradic,2954 
1966720 ,402809746 ,SorrowfulRosesVT,2921 
1966720 ,251804617 ,TheHighNinja420,2840 
1966720 ,74951351 ,ChaofanJ,2802 
1966720 ,470002638 ,NyaoiVT,2747 
1966720 ,155870433 ,BCxTV,2743 
1966720 ,589133324 ,Payton_Reign,2678 
1966720 ,231468151 ,ThePixtor,2581 
1966720 ,45670294 ,Pokellation,2561 
1966720 ,136043057 ,HeySmallz,2411 
1966720 ,174803770 ,EvanBreaksGames,2346 
1966720 ,91776959 ,lopunnybaee,2220 
1966720 ,138489164 ,LouveNina,2184 
1966720 ,476279596 ,GunkOut,2163 
1967430 ,440585013 ,TenkouCosplay,1122 
1967430 ,677008291 ,ちび春 (chibihr),1009 
1967430 ,76597763 ,Reedrill,466 
1967430 ,593485121 ,goobyism,362 
1967430 ,64449837 ,DragonSlayerProductions,277 
1967430 ,190198761 ,playheadnorth,187 
1967430 ,751686820 ,紅亜の隠れ家 (30kurea11),174 
1967430 ,598025178 ,solatile,170 
1967510 ,643013004 ,johnny0225221,42 
1967630 ,130297556 ,5M_Dox,1376 
1967630 ,265506415 ,jimmysplace,1205 
1967630 ,410238624 ,DeadLikeMe62,1019 
1967630 ,143061641 ,GaterGal,664 
1967630 ,118759049 ,Eldritch_Iniquity,533 
1967630 ,642898154 ,CapNClapEm,332 
1967630 ,45474791 ,Etheryoh,250 
1967630 ,537992292 ,gert_hofman,157 
1967630 ,521885865 ,Stambo_59,28 
1969870 ,75783731 ,Pathli0Nn,2738 
1969870 ,922881631 ,MartiniVibe,325 
1969870 ,912001922 ,heNQi,273 
1969870 ,106208274 ,troyan_imp,64 
1971650 ,47000170 ,MrSamKim,7625 
1971650 ,72333802 ,AtticPlays,5009 
1971650 ,8208262 ,Sacredshadow,3128 
1971650 ,10276277 ,gameguy888,2424 
1971650 ,183327575 ,Itsthatkidrod,1104 
1971650 ,115376773 ,ConsoleKev,955 
1971650 ,901507693 ,Hunt_TrainDX,917 
1971650 ,116493363 ,CptFeedsaplenty,888 
1971650 ,622448608 ,ShiraBearyu,831 
1971650 ,571243054 ,mustache_gio,788 
1971650 ,83070729 ,AkeAwookami,652 
1971650 ,47047633 ,newinky,631 
1971650 ,719994197 ,めりっさ (melissa8438),620 
1971650 ,232719254 ,smarmmy,602 
1971650 ,173784280 ,ふら__ (fura_games),556 
1971650 ,615564973 ,いちのせちゃん (1nosechan),513 
1971650 ,88143992 ,DystoPeak,510 
1971650 ,56819550 ,lucanimations,501 
1971650 ,209298732 ,Ms_MollyMac,492 
1971650 ,778525181 ,nefjogamers,441 
1971650 ,534839605 ,hyakumann14,326 
1971650 ,23896958 ,Rav3nite,289 
1971650 ,94883974 ,AlittleBitOfWaffle,285 
1971650 ,485946737 ,MidnightNekoLuna,276 
1971650 ,102169929 ,AkrossLeviathan,250 
1971650 ,1002809869 ,rolunatech,241 
1971650 ,169833549 ,歩く救援物資 (remp04),239 
1971650 ,102035646 ,TolbenPendragon,225 
1971650 ,232857417 ,Ryoshi_Yajiri,198 
1971650 ,56602833 ,nisellama,161 
1971650 ,88035267 ,CaptainPatJack,155 
1971650 ,10452864 ,riceboks,137 
1971650 ,85412889 ,Fadmanky,132 
1971650 ,413126506 ,kyrospuns,120 
1971650 ,187055258 ,liquidmoon_tk,117 
1971650 ,151550619 ,ProngedLeaf,103 
1971650 ,576051652 ,kaos_korp,94 
1971650 ,167338197 ,Duvnin,93 
1971650 ,117758317 ,Akira_San4,82 
1971650 ,432698342 ,原味沒品 (smileahpain),75 
1971650 ,904902128 ,ぽっさ (possa1234),67 
1971650 ,886048140 ,chantingfox8816,63 
1971650 ,66194303 ,StephenSidequest,56 
1971650 ,634407298 ,盥将門 (aitarai1),35 
1971650 ,11080674 ,NakaLive,34 
1971650 ,31581448 ,ProtoStreak,18 
1973530 ,197704567 ,Paiyumi,12998 
1973530 ,523273333 ,Yukari_V,8539 
1973530 ,494051602 ,Roriekun,5137 
1973530 ,822120220 ,KliffothVT,2185 
1973530 ,578330229 ,yukichigoo,1684 
1973530 ,53645768 ,Cloverchan,1474 
1973530 ,773265038 ,AniseEidolon,1169 
1973530 ,135620768 ,LambdadeltaYT,860 
1973530 ,618388757 ,Reviews_Objetivas,795 
1973530 ,277785073 ,天津神ツカサ (amatsu3hi),760 
1973530 ,118319426 ,sunk3n_,711 
1973530 ,85632176 ,etherealAffairs,611 
1973530 ,132715959 ,Arisu_VT,558 
1973530 ,789838164 ,Chimernyan_Ch,558 
1973530 ,780227911 ,VelpariaDantalion,523 
1973530 ,823832975 ,KaffaeTime,474 
1973530 ,579211390 ,PeachColaExists,454 
1973530 ,120464838 ,Storyestry,408 
1973530 ,449370495 ,inklee_,364 
1973530 ,690314715 ,ProfPoeCh,304 
1973530 ,74232903 ,PFArchangel,300 
1973530 ,30070875 ,SuperTamaru,297 
1973530 ,125101188 ,ArayalaVT,266 
1973530 ,154644033 ,XantheArxal,245 
1973530 ,667600394 ,TomaToadVT,234 
1973530 ,85235360 ,a25061179,225 
1973530 ,463024044 ,SirCroakster,225 
1973530 ,881814515 ,renatalka,224 
1973530 ,164339397 ,Tsunul,202 
1973530 ,753484397 ,SelesInnel,179 
1973530 ,136517191 ,procone9,178 
1973530 ,441176805 ,AsrielTepes,175 
1973530 ,774771858 ,oslowolfvtuber,174 
1973530 ,247399376 ,Lunatic_Mag,166 
1973530 ,1019797813 ,XwXHecateXwX,153 
1973530 ,85303531 ,Shauntaro,151 
1973530 ,787541815 ,myanster,148 
1973530 ,177985587 ,AndyUnderlife,141 
1973530 ,65103943 ,MuffinTrain,139 
1973530 ,84618660 ,SilkiiLive,128 
1973530 ,242408163 ,MordredGuilt,112 
1973530 ,7368976 ,MTSkeletor,107 
1973530 ,478623623 ,Same_Orion359,103 
1973530 ,109141371 ,MooshieChan,101 
1973530 ,36722136 ,sir_cookies,93 
1973530 ,1095002248 ,DreamyXArk,87 
1973530 ,52608443 ,densxl,56 
1973530 ,256750153 ,BatterDays,52 
1973530 ,614342897 ,The_Labrys,48 
1973530 ,127627436 ,reeceyplayssomegames,43 
1974050 ,26306692 ,mbXtreme,88555 
1974050 ,40459081 ,EXMAGISTR,22488 
1974050 ,25501154 ,惡魔貓貓貓 (devilcatwith2cat),15684 
1974050 ,133801143 ,게이머비누 (osw0225),12357 
1974050 ,107872398 ,威猛先生超 (morningage),9970 
1974050 ,130721420 ,로나_ (rona0516),9256 
1974050 ,464333523 ,추봉이 (chu_b),8308 
1974050 ,71742981 ,Maydie13,7718 
1974050 ,847517284 ,ster2ster,7048 
1974050 ,32538039 ,Mike1Up,5956 
1974050 ,97820933 ,Zen_M,4403 
1974050 ,753232671 ,torchlight_infinite,4182 
1974050 ,82863656 ,pixelperest,3041 
1974050 ,168671936 ,CptTeemo,2297 
